log_sales,p+l_scaled,ind_cat,default
7.093158528605567,-8.951986935210886,3,0
13.943477010618471,9.182272391501176,2,0
7.932069686138762,-7.758649830367396,3,1
12.980031444806547,11.479915083971905,3,0
11.773207816163303,-7.763383406140782,3,0
8.81317405861195,-7.010679442913446,3,0
10.169548701060647,-7.179392633590947,3,0
10.086888767175159,-8.987321812850125,3,0
15.500015404030096,11.608446702045855,1,0
7.167266450053159,-9.328705963608323,3,1
8.592094459318735,7.601402334583733,3,0
8.920186105544545,6.648168623112373,3,0
10.428106515557742,6.912447925589486,2,0
10.899889379168446,7.919046394809519,0,0
9.514824898426827,0.0,2,0
11.802993633741147,7.818504807802203,3,0
11.382858955556115,7.737874657368562,3,0
10.440305705829376,-8.31898612539206,3,1
12.66869962233343,11.207620899501563,2,0
10.033540661729448,-9.417435838868785,3,0
10.981960110219994,6.648168623112373,2,0
11.35531816687383,-9.979465580290936,3,1
11.179987755790982,7.0563987740761736,3,0
7.061905923932162,-7.179392633590947,3,0
9.606627685383684,6.987011319140829,3,0
11.916858566822526,-9.690081169757521,3,0
9.204396865375305,6.774308564691946,3,1
13.413871496197192,7.917698211859414,0,0
9.532960482691571,7.865074171622826,3,1
7.647927441321331,4.412573825234071,3,1
10.579356734600392,8.241068746017994,2,0
11.007087382715277,4.78347130949797,3,0
8.9006903765416,3.5361166625256297,3,0
10.806355237684562,6.3150900952512785,3,1
10.924872123888177,-7.8155209080236165,3,0
10.29427760314553,7.179392633590947,3,0
11.897809818119391,0.0,2,0
7.325490503500713,-6.194178601100063,3,0
6.907755278982137,5.975316339624962,3,0
10.662821157170066,-8.155500377660585,3,0
10.503137703462942,7.853633540688836,3,0
12.613560394221048,10.66241122664316,2,0
12.908500687849347,10.343684460016869,2,0
13.366876954454732,-11.441599293096747,3,0
10.796623360064885,-11.214732512920516,3,0
10.129146453329739,5.284706635183821,2,1
8.68458913470639,6.147755769682692,3,0
12.180089872916158,-9.60144861485983,3,0
9.785704492465682,7.106211432536128,3,0
9.632941731513469,-7.8636512654486515,3,0
10.288623988760918,4.61512051684126,2,0
11.128297260690706,8.477350636521951,3,0
8.037961962271888,-5.812138529720125,2,0
11.42748858644346,8.35360176604443,3,0
7.409652244633801,6.93071197501292,2,1
9.705713904406847,-7.940372865267431,3,1
9.222488548790533,-9.30439390315326,3,1
11.26051521327982,-10.591088816484389,3,0
9.568532670010095,8.323491579857043,3,0
11.248911700199812,-9.859820123630438,3,1
11.164890322370187,-9.631550022347945,3,1
8.211070516815765,1.5483502073130806,2,1
9.676168609381259,-9.515444814112229,3,1
9.413432352510355,4.84360365809654,2,0
10.123960901405756,0.0,3,0
10.742417153874063,6.422946300377743,2,0
9.345906704424257,8.654872463821722,3,0
11.819374817350145,9.19288142580007,3,0
13.531215327017746,9.888800636008972,3,0
9.531081045705923,9.856526042507522,3,1
10.210291227125671,-8.661306387039014,3,0
7.254753931785896,-5.589742387274195,2,0
